RepRapFirmware height map file v2 generated at 2023-11-08 10:27, min error -0.152, max error 0.093, mean -0.035, deviation 0.056
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,20.00,280.00,20.00,270.00,-1.00,28.89,27.77,10,10
  0.085,  0.074,  0.028, -0.003, -0.037, -0.005,  0.033,  0.075,  0.079,  0.093
  0.057,  0.043, -0.001, -0.030, -0.067, -0.035, -0.003,  0.038,  0.044,  0.049
  0.038,  0.021, -0.027, -0.058, -0.092, -0.066, -0.032,  0.006,  0.011,  0.024
  0.023,  0.007, -0.032, -0.077, -0.115, -0.082, -0.055, -0.013, -0.007,  0.008
  0.023, -0.001, -0.046, -0.086, -0.117, -0.085, -0.064, -0.023, -0.016, -0.007
  0.010, -0.011, -0.055, -0.089, -0.133, -0.102, -0.073, -0.029, -0.023, -0.025
  0.003, -0.018, -0.067, -0.100, -0.142, -0.100, -0.076, -0.033, -0.032, -0.034
 -0.002, -0.029, -0.071, -0.107, -0.146, -0.107, -0.077, -0.036, -0.026, -0.031
 -0.009, -0.036, -0.077, -0.113, -0.144, -0.107, -0.082, -0.037, -0.022, -0.013
 -0.009, -0.038, -0.087, -0.121, -0.152, -0.118, -0.084, -0.042, -0.021, -0.002
